,close,high,low,open,time,volumefrom,volumeto,timestamp
0,795.39,795.39,788.32,793.5,1525482000,14423.27,11402222.08,2018-05-04 21:00:00
1,800.2,801.72,795.25,795.25,1525485600,21025.19,16799245.75,2018-05-04 22:00:00
2,803.4,804.05,797.64,800.2,1525489200,14987.58,12010586.01,2018-05-04 23:00:00
3,811.08,814.95,803.34,803.34,1525492800,31987.4,25922158.98,2018-05-05 00:00:00
4,809.06,812.05,805.34,810.87,1525496400,13997.23,11311970.86,2018-05-05 01:00:00
5,801.33,809.39,801.32,809.05,1525500000,11832.74,9534345.17,2018-05-05 02:00:00
6,805.54,807.03,801.18,801.42,1525503600,7322.85,5889363.67,2018-05-05 03:00:00
7,809.58,811.0,804.43,805.55,1525507200,8289.61,6700574.32,2018-05-05 04:00:00
8,808.27,810.38,807.73,809.58,1525510800,6356.29,5138850.21,2018-05-05 05:00:00
9,816.02,820.11,808.27,808.5,1525514400,21334.59,17385989.66,2018-05-05 06:00:00
10,813.98,816.53,808.77,815.96,1525518000,12995.88,10556898.03,2018-05-05 07:00:00
11,820.76,822.99,813.98,814.06,1525521600,16805.43,13777148.9,2018-05-05 08:00:00
12,815.34,827.44,815.14,820.83,1525525200,24611.31,20287472.31,2018-05-05 09:00:00
13,823.37,824.69,815.2,815.2,1525528800,15185.32,12473452.87,2018-05-05 10:00:00
14,817.83,825.56,817.61,823.37,1525532400,13111.42,10765621.96,2018-05-05 11:00:00
15,819.69,819.72,810.33,818.2,1525536000,17853.3,14568150.96,2018-05-05 12:00:00
16,807.8,821.07,807.3,819.69,1525539600,20578.42,16733400.98,2018-05-05 13:00:00
17,810.11,810.77,803.02,807.8,1525543200,21946.5,17716671.14,2018-05-05 14:00:00
18,810.2,811.75,809.54,810.11,1525546800,7278.87,5895656.12,2018-05-05 15:00:00
19,802.32,810.4,802.01,810.25,1525550400,24054.03,19367911.04,2018-05-05 16:00:00
20,805.28,805.41,797.04,802.37,1525554000,17937.53,14362062.91,2018-05-05 17:00:00
21,810.58,817.32,804.37,805.4,1525557600,21091.05,17104017.91,2018-05-05 18:00:00
22,816.58,816.77,810.53,810.58,1525561200,9056.04,7375995.08,2018-05-05 19:00:00
23,826.33,826.35,815.72,816.59,1525564800,13601.03,11165251.37,2018-05-05 20:00:00
24,833.51,833.64,826.26,826.29,1525568400,26063.67,21624585.25,2018-05-05 21:00:00
25,829.48,834.3,826.99,833.58,1525572000,18946.06,15761906.44,2018-05-05 22:00:00
26,823.78,831.99,823.77,829.48,1525575600,10694.71,8849088.26,2018-05-05 23:00:00
27,815.29,825.93,815.0,823.96,1525579200,11079.37,9100092.83,2018-05-06 00:00:00
28,802.62,816.67,801.91,815.3,1525582800,25447.46,20580538.74,2018-05-06 01:00:00
29,794.29,802.62,777.01,802.32,1525586400,71285.02,56131914.73,2018-05-06 02:00:00
30,796.15,801.18,789.94,794.29,1525590000,19479.02,15483279.08,2018-05-06 03:00:00
31,775.79,796.15,773.61,796.15,1525593600,31928.43,24882219.24,2018-05-06 04:00:00
32,778.79,781.58,770.64,775.65,1525597200,32718.16,25322942.41,2018-05-06 05:00:00
33,780.78,788.92,778.08,778.87,1525600800,15923.62,12483482.33,2018-05-06 06:00:00
34,770.98,781.52,767.72,780.43,1525604400,16452.31,12766352.71,2018-05-06 07:00:00
35,771.45,773.46,753.51,771.13,1525608000,40663.98,31030721.6,2018-05-06 08:00:00
36,775.62,782.9,768.46,771.4,1525611600,19040.95,14799570.45,2018-05-06 09:00:00
37,777.08,780.76,771.78,775.78,1525615200,13945.23,10821762.95,2018-05-06 10:00:00
38,773.51,779.1,767.29,777.13,1525618800,15064.44,11653416.75,2018-05-06 11:00:00
39,785.69,787.58,773.4,773.51,1525622400,15930.62,12477229.72,2018-05-06 12:00:00
40,786.84,791.82,785.44,785.6,1525626000,12698.89,10013513.96,2018-05-06 13:00:00
41,781.48,787.88,781.03,786.85,1525629600,8470.21,6650246.43,2018-05-06 14:00:00
42,779.01,783.69,778.85,781.55,1525633200,7116.73,5555462.58,2018-05-06 15:00:00
43,775.6,781.47,774.22,779.01,1525636800,16549.71,12818640.63,2018-05-06 16:00:00
44,783.58,784.14,774.35,775.6,1525640400,7276.48,5651416.05,2018-05-06 17:00:00
45,787.07,791.12,783.28,783.58,1525644000,14947.07,11744609.33,2018-05-06 18:00:00
46,790.39,791.23,784.05,787.06,1525647600,9124.12,7173626.24,2018-05-06 19:00:00
47,775.78,794.86,775.44,790.39,1525651200,18311.58,14393491.1,2018-05-06 20:00:00
48,762.46,778.03,749.13,775.66,1525654800,52233.76,39826171.32,2018-05-06 21:00:00
49,751.82,762.61,745.56,762.34,1525658400,40040.82,30210721.35,2018-05-06 22:00:00
50,757.17,757.23,740.69,751.82,1525662000,32629.79,24383215.2,2018-05-06 23:00:00
51,752.33,760.9,752.32,757.17,1525665600,18844.41,14249173.18,2018-05-07 00:00:00
52,755.68,757.82,747.09,752.36,1525669200,16729.24,12564080.09,2018-05-07 01:00:00
53,754.44,756.91,751.42,755.68,1525672800,13954.82,10518777.7,2018-05-07 02:00:00
54,734.5,754.73,726.32,754.71,1525676400,70463.08,51870460.69,2018-05-07 03:00:00
55,739.34,748.38,727.19,734.65,1525680000,66221.77,48889772.96,2018-05-07 04:00:00
56,696.88,739.33,690.91,739.26,1525683600,219578.47,156221704.12,2018-05-07 05:00:00
57,720.83,723.43,696.76,696.76,1525687200,62296.14,44243988.23,2018-05-07 06:00:00
58,731.16,733.44,717.54,720.83,1525690800,29555.89,21492966.98,2018-05-07 07:00:00
59,729.82,741.33,726.68,731.16,1525694400,30765.73,22577361.15,2018-05-07 08:00:00
60,709.16,730.04,702.89,729.8,1525698000,70976.0,50796691.64,2018-05-07 09:00:00
61,716.45,719.81,692.96,708.73,1525701600,85355.22,60255913.04,2018-05-07 10:00:00
62,728.14,731.03,715.94,716.59,1525705200,33337.25,24188864.75,2018-05-07 11:00:00
63,730.75,730.75,723.23,728.09,1525708800,38308.44,27889804.15,2018-05-07 12:00:00
64,736.22,749.26,730.53,730.65,1525712400,58740.11,43462834.91,2018-05-07 13:00:00
65,745.31,746.92,735.96,735.96,1525716000,18160.97,13509212.61,2018-05-07 14:00:00
66,755.96,758.91,744.44,745.33,1525719600,50479.45,37981459.9,2018-05-07 15:00:00
