,close,high,low,open,time,volumefrom,volumeto,timestamp
0,160.52,160.72,159.59,159.6,1525924800,3337.08,535502.51,2018-05-10 00:00:00
1,159.04,160.59,158.95,160.52,1525928400,8171.02,1307038.8,2018-05-10 01:00:00
2,158.58,159.71,157.85,159.04,1525932000,11137.01,1767205.87,2018-05-10 02:00:00
3,159.31,160.18,157.79,158.58,1525935600,11353.73,1805157.11,2018-05-10 03:00:00
4,158.38,159.82,158.25,159.3,1525939200,5177.21,823885.27,2018-05-10 04:00:00
5,157.85,158.4,157.64,158.38,1525942800,9273.55,1463904.15,2018-05-10 05:00:00
6,158.33,158.57,157.31,157.85,1525946400,8521.29,1344824.14,2018-05-10 06:00:00
7,156.96,158.5,156.93,158.33,1525950000,12425.38,1956664.68,2018-05-10 07:00:00
8,157.22,157.31,156.54,156.76,1525953600,8352.26,1310814.87,2018-05-10 08:00:00
9,158.03,158.07,156.63,157.22,1525957200,14581.64,2296325.06,2018-05-10 09:00:00
10,156.91,158.06,156.9,158.03,1525960800,9449.57,1487967.61,2018-05-10 10:00:00
11,157.14,157.29,156.76,156.91,1525964400,6958.38,1092752.89,2018-05-10 11:00:00
12,157.73,157.85,157.13,157.14,1525968000,7166.71,1130025.37,2018-05-10 12:00:00
13,152.95,157.75,151.73,157.73,1525971600,71130.35,10924881.37,2018-05-10 13:00:00
14,152.89,153.47,151.68,152.95,1525975200,27137.13,4140199.47,2018-05-10 14:00:00
15,152.32,153.1,152.07,152.89,1525978800,13735.72,2093784.81,2018-05-10 15:00:00
16,151.51,152.39,151.35,152.32,1525982400,18165.03,2754796.05,2018-05-10 16:00:00
17,151.94,152.67,151.46,151.51,1525986000,9970.91,1516489.84,2018-05-10 17:00:00
18,151.49,151.97,150.7,151.95,1525989600,13373.89,2023920.32,2018-05-10 18:00:00
19,148.24,151.5,147.86,151.49,1525993200,48680.95,7251642.38,2018-05-10 19:00:00
20,147.29,148.33,144.9,148.24,1525996800,91205.53,13326723.11,2018-05-10 20:00:00
21,147.78,148.52,146.42,147.29,1526000400,25814.15,3810609.28,2018-05-10 21:00:00
22,146.56,148.28,146.36,147.78,1526004000,18361.14,2708206.46,2018-05-10 22:00:00
23,147.15,147.45,146.2,146.56,1526007600,9258.87,1360647.93,2018-05-10 23:00:00
24,147.84,147.96,147.1,147.15,1526011200,4189.0,618190.31,2018-05-11 00:00:00
