neurons,layers,activation_function,optimizer,dropout,batch_size,epochs,input_window_len,output_window_len,keep_order,elapsed_time,loss,val_loss,mae,val_mae
621,6,relu,adam,0.59,166,23,30,10,False,21.46,96.7463760596333,1.3040423393249512,1.8174133989305208,0.7111823558807373
402,5,relu,sgd,0.1,93,35,19,10,False,9.87,0.7102846737081062,0.6523067122452879,0.5298339971168312,0.5395416429598038
413,10,relu,sgd,0.25,72,30,17,4,False,15.45,0.3346534240259994,0.3360566770708239,0.38174963862093675,0.38670170629346695
610,16,relu,rmsprop,0.52,70,31,30,4,False,84.69,4.35647046215922,1.1970900787066108,1.052050488181861,0.6556170872629505
561,15,relu,adam,0.26,71,17,15,8,True,20.82,0.44447053084149957,0.1747709555450336,0.4289168590084934,0.3531469584897507
188,4,tanh,rmsprop,0.73,178,20,21,5,False,1.54,0.5739928748872545,0.2830875813961029,0.4809122067768229,0.38310787081718445
172,13,tanh,sgd,0.77,41,17,37,9,True,8.99,2.14417899936646,0.6216440214863364,0.9055962101979689,0.7128924395678178
15,14,tanh,adam,0.84,25,33,50,5,False,13.19,3.529337672372543,4.669496109246785,1.0279948291087326,1.1736402025459507
143,5,tanh,adam,0.12,133,25,34,4,False,3.08,0.9876939694128805,0.9350106166548109,0.6140972993383973,0.7041131774448368
69,7,tanh,rmsprop,0.08,30,23,28,2,False,3.91,0.5837866254150867,0.4537462030779825,0.5342096995642717,0.4926131347270861
505,3,relu,adam,0.22,163,15,25,4,False,5.10,0.5397848735669416,0.47300395369529724,0.46910337623721826,0.47223836183547974
74,18,tanh,sgd,0.19,161,40,18,8,False,5.05,0.5275899588420827,0.468415230512619,0.4663498138156558,0.4696337580680847
394,7,relu,sgd,0.79,118,12,24,7,True,6.12,0.9006655899534276,0.22402039342675328,0.5903753543789292,0.41890736601569434
371,18,tanh,rmsprop,0.14,142,23,38,6,False,32.29,1.7767318687299742,1.8974903581870928,0.9760682076723326,1.0968570187687874
192,13,tanh,adam,0.31,170,23,48,8,True,11.41,4.2419828936145025,1.3073415756225586,1.1388696529370643,1.102606177330017
587,12,relu,rmsprop,0.66,142,19,44,4,False,45.59,nan,nan,nan,nan
248,2,relu,sgd,0.67,166,34,7,8,True,0.74,0.18655156482028448,0.09990652650594711,0.2841657871827657,0.25826412439346313
621,7,tanh,sgd,0.59,153,36,22,6,True,26.82,0.6860768565764794,0.22070281207561493,0.5223393736706747,0.41632673144340515
315,11,relu,adam,0.78,158,13,13,9,False,3.62,0.35726683107553564,0.30991560220718384,0.39371470718973456,0.4042661190032959
690,7,relu,sgd,0.08,103,29,13,8,True,19.52,0.35162437028123505,0.15159603395989832,0.3850597266220685,0.3381709028746336
351,15,relu,adam,0.21,98,38,46,6,True,52.49,3.5874704316188963,0.12910730443894863,1.0674830731047895,0.3196273946762085
371,3,relu,rmsprop,0.69,40,22,46,8,False,10.36,3.4633882655733568,4.473040976422898,1.0145749027377988,1.1676874570812739
287,4,tanh,sgd,0.9,26,31,29,8,True,9.65,1.196941356146426,0.4750118617130362,0.7181170916918552,0.6202909827232361
326,5,tanh,rmsprop,0.45,26,21,13,6,True,5.43,0.2972374912915808,0.11488098791219238,0.37913600705338246,0.29263548037611453
168,3,relu,sgd,0.13,85,36,17,6,False,2.21,0.4019796288838344,0.3767742768031399,0.4139025010878131,0.42127583079597575
672,17,tanh,adam,0.35,120,12,22,3,True,29.24,0.533743896059223,0.2019674444761802,0.48078146556040624,0.40771030581842255
270,11,tanh,adam,0.09,86,31,26,4,False,13.56,0.787550575575597,0.571651870257234,0.5660526629188936,0.6091007508643685
361,5,relu,sgd,0.11,10,35,29,6,False,28.92,0.9629069238179897,1.005759015883485,0.6543032642997648,0.6564597885494363
31,15,tanh,rmsprop,0.39,112,14,18,8,False,2.23,0.545946689916768,0.4970750446830477,0.4720805605323796,0.47582959986868356
368,11,tanh,sgd,0.51,129,34,13,9,False,11.53,0.3563335131029914,0.3257765511468965,0.3941855279110842,0.4053002212728773
421,9,relu,rmsprop,0.69,146,38,19,9,True,27.34,9.391428295271101,0.21440574526786804,1.4817511134353274,0.3978661596775055
134,5,tanh,adam,0.96,54,23,39,6,True,6.83,2.566693771448169,0.18258121372940384,1.0294534499411816,0.3726515895295366
361,2,tanh,adam,0.61,159,17,16,6,False,4.00,0.300284981816192,0.20164762437343597,0.3694625857787807,0.3271074593067169
304,14,tanh,rmsprop,0.4,15,19,25,9,False,36.00,2.267663281968611,1.2690049473275529,1.2521359721522132,0.9733792403911022
206,18,relu,adam,0.03,57,37,42,2,True,49.01,2.055642986673393,1.393575178252326,0.8406166323310845,1.1217265460226271
558,9,relu,sgd,0.74,128,24,32,2,False,54.77,0.9926956477653549,1.1663276916497374,0.6176018850631024,0.647576337399548
539,11,tanh,adam,0.35,11,18,33,9,True,135.22,1.5205638852412215,1.3336773931980133,0.9824982008490807,1.0897455602884292
433,12,tanh,adam,0.49,191,12,28,5,False,14.08,0.9195700213134645,1.045250654220581,0.6166636691835826,0.6468128561973572
245,2,tanh,rmsprop,0.44,143,35,25,2,False,3.17,0.4380018307051311,0.32189658284187317,0.44837797438459737,0.38347718119621277
39,18,relu,adam,0.12,159,22,8,9,True,1.68,0.23003732982918723,0.11619945615530014,0.31590285949356905,0.2819454073905945
612,15,tanh,adam,0.22,57,21,21,6,True,57.40,0.641628626958708,0.9689289662837982,0.5111662563118902,0.8813491923809051
